date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:29	13/13	---M--	200	added ('OK')	text/plain	etag:%2214f00210-d-54bd9ec6f98cb%22	https://pixinvent.com/robots.txt		(from )
01:13:30	108051/108051	---M-Z	200	added ('OK')	text/html	etag:%2215840994-1a613-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/index.html	(from )
01:13:30	5915/5915	---M--	200	added ('OK')	image/png	etag:%22155a1072-171b-55070846f5000%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/ico/apple-icon-120.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/ico/apple-icon-120.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:32	102623/102623	---M--	200	added ('OK')	text/css	etag:%2214f00194-190df-5516d3dd30bf5%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/css/bootstrap.min.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:33	55765/55765	---M--	200	added ('OK')	text/css	etag:%22155a0821-d9d5-5505d25af9d80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/fonts/feather/style.min.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/fonts/feather/style.min.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:34	161544/161544	---M--	200	added ('OK')	text/css	etag:%22155a0e15-27708-5505d25af9d80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/fonts/font-awesome/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/fonts/font-awesome/css/font-awesome.min.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:34	33205/33205	---M--	200	added ('OK')	text/css	etag:%22155a0825-81b5-54eaf824ed100%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/fonts/flag-icon-css/css/flag-icon.min.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/fonts/flag-icon-css/css/flag-icon.min.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:35	340/340	---M--	200	added ('OK')	text/css	etag:%22155a1311-154-54ec527fd7880%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/vendors/css/extensions/pace.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/vendors/css/extensions/pace.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:36	6789/6789	---M--	200	added ('OK')	text/css	etag:%22155a1300-1a85-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/vendors/css/charts/jquery-jvectormap-2.0.3.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/vendors/css/charts/jquery-jvectormap-2.0.3.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:37	494/494	---M--	200	added ('OK')	text/css	etag:%22155a1301-1ee-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/vendors/css/charts/morris.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/vendors/css/charts/morris.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
