date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:39	33/33	---M--	200	added ('OK')	text/plain	etag:%223dc0053-21-558d2a43685a9%22	http://thememakker.com/robots.txt		(from )
19:18:40	52964/52964	---M-Z	200	added ('OK')	text/html	etag:%223e6137a-cee4-54f34027a0c80-gzip%22	http://thememakker.com/swift/hospital/	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/index.html	(from )
19:18:41	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%223e61376-47e-54856293ffd00%22	http://thememakker.com/swift/hospital/favicon.ico	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/favicon.ico	(from http://thememakker.com/swift/hospital/)
19:18:41	549/549	---M--	200	added ('OK')	text/css	etag:%223e809d7-225-5454ff794a480%22	http://thememakker.com/swift/hospital/assets/plugins/morrisjs/morris.css	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/plugins/morrisjs/morris.css	(from http://thememakker.com/swift/hospital/)
19:18:44	543753/543753	---M--	200	added ('OK')	text/css	etag:%223e60f63-84c09-549c7205f7680%22	http://thememakker.com/swift/hospital/assets/css/main.css	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/css/main.css	(from http://thememakker.com/swift/hospital/)
19:18:46	14995/14995	---M--	200	added ('OK')	text/css	etag:%223e60f65-3a93-547c9f0f2dd00%22	http://thememakker.com/swift/hospital/assets/css/themes/all-themes.css	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/css/themes/all-themes.css	(from http://thememakker.com/swift/hospital/)
19:18:46	34203/34203	---M-Z	200	added ('OK')	text/html	etag:%223e61375-859b-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/doctor-schedule.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/doctor-schedule.html	(from http://thememakker.com/swift/hospital/)
19:18:47	41059/41059	---M-Z	200	added ('OK')	text/html	etag:%223e61386-a063-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/patients.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/patients.html	(from http://thememakker.com/swift/hospital/)
19:18:48	37622/37622	---M-Z	200	added ('OK')	text/html	etag:%223e61387-92f6-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/payments.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/payments.html	(from http://thememakker.com/swift/hospital/)
19:18:49	10876/10876	---M--	200	added ('OK')	image/jpeg	etag:%223e60f7e-2a7c-547c2d60da800%22	http://thememakker.com/swift/hospital/assets/images/random-avatar1.jpg	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/images/random-avatar1.jpg	(from http://thememakker.com/swift/hospital/)
